0	0.0797	0	0
0.01	0.0997	0	0.0021
0.02	0.1197	0.0001	0.0066
0.03	0.1397	0.0002	0.0117
0.04	0.1597	0.0004	0.0171
0.05	0.1797	0.0006	0.0229
0.06	0.1996	0.0009	0.029
0.07	0.2196	0.0012	0.0353
0.08	0.2395	0.0017	0.0418
0.09	0.2595	0.0021	0.0484
0.1	0.7333	0.0027	0.0552
0.11	0.7532	0.0034	0.0729
0.12	0.7731	0.0044	0.1002
0.13	0.7929	0.0057	0.1253
0.14	0.8128	0.0072	0.1484
0.15	0.8325	0.0089	0.1695
0.16	0.8523	0.0108	0.1888
0.17	0.872	0.0128	0.2062
0.18	0.8917	0.015	0.222
0.19	0.9114	0.0174	0.2362
0.2	0.2056	0.0199	0.2488
0.21	0.2252	0.0223	0.2424
0.22	0.2447	0.0245	0.2194
0.23	0.2642	0.0265	0.1985
0.24	0.2837	0.0283	0.1796
0.25	0.3031	0.0299	0.1626
0.26	0.3224	0.0314	0.1473
0.27	0.3417	0.0327	0.1337
0.28	0.361	0.0339	0.1217
0.29	0.3802	0.035	0.1111
0.3	0.8784	0.0361	0.102
0.31	0.8975	0.0371	0.1057
0.32	0.9165	0.0383	0.1207
0.33	0.9355	0.0397	0.1346
0.34	0.9544	0.0411	0.1474
0.35	0.9732	0.0427	0.1592
0.36	0.992	0.0444	0.17
0.37	1.0106	0.0462	0.1799
0.38	1.0292	0.0481	0.1888
0.39	1.0478	0.0501	0.1969
0.4	0.8227	0.0521	0.2042
0.41	0.8411	0.0542	0.2048
0.42	0.8594	0.0562	0.1996
0.43	0.8776	0.0581	0.1947
0.44	0.8957	0.06	0.1903
0.45	0.9138	0.0619	0.1862
0.46	0.9318	0.0637	0.1825
0.47	0.9496	0.0655	0.1792
0.48	0.9674	0.0673	0.1762
0.49	0.9851	0.069	0.1734
0.5	0.8721	0.0707	0.1709
0.51	0.8896	0.0724	0.1656
0.52	0.907	0.074	0.1577
0.53	0.9243	0.0755	0.1507
0.54	0.9415	0.0769	0.1444
0.55	0.9586	0.0783	0.1389
0.56	0.9756	0.0796	0.134
0.57	0.9925	0.0809	0.1298
0.58	1.0093	0.0822	0.1262
0.59	1.026	0.0834	0.1231
0.6	0.9236	0.0846	0.1205
0.61	0.9401	0.0858	0.1155
0.62	0.9564	0.0869	0.1084
0.63	0.9726	0.0879	0.1023
0.64	0.9887	0.0889	0.097
0.65	1.0047	0.0898	0.0926
0.66	1.0206	0.0907	0.0888
0.67	1.0363	0.0915	0.0858
0.68	1.0519	0.0924	0.0834
0.69	1.0674	0.0932	0.0816
0.7	1.3193	0.094	0.0803
0.71	1.3345	0.0948	0.0851
0.72	1.3496	0.0958	0.0954
0.73	1.3646	0.0968	0.105
0.74	1.3794	0.098	0.1138
0.75	1.3941	0.0992	0.122
0.76	1.4087	0.1005	0.1295
0.77	1.4231	0.1019	0.1364
0.78	1.4374	0.1033	0.1427
0.79	1.4515	0.1048	0.1483
0.8	1.5638	0.1063	0.1534
0.81	1.5776	0.1079	0.1604
0.82	1.5913	0.1096	0.1688
0.83	1.6049	0.1114	0.1763
0.84	1.6183	0.1132	0.1829
0.85	1.6316	0.1151	0.1886
0.86	1.6447	0.117	0.1936
0.87	1.6577	0.119	0.1977
0.88	1.6705	0.121	0.2012
0.89	1.6832	0.123	0.2039
0.9	1.623	0.1251	0.2061
0.91	1.6354	0.1272	0.2059
0.92	1.6476	0.1292	0.2036
0.93	1.6596	0.1312	0.2011
0.94	1.6715	0.1332	0.1985
0.95	1.6832	0.1351	0.1958
0.96	1.6948	0.1371	0.1929
0.97	1.7061	0.139	0.19
0.98	1.7174	0.1408	0.187
0.99	1.7284	0.1427	0.1839
1	1.7972	0.1445	0.1807
1.01	1.808	0.1463	0.1789
1.02	1.8185	0.1481	0.1783
1.03	1.8289	0.1498	0.1774
1.04	1.8391	0.1516	0.1763
1.05	1.8491	0.1533	0.1749
1.06	1.859	0.1551	0.1732
1.07	1.8687	0.1568	0.1714
1.08	1.8782	0.1585	0.1694
1.09	1.8875	0.1602	0.1672
1.1	1.8935	0.1618	0.1649
1.11	1.9025	0.1634	0.1624
1.12	1.9113	0.165	0.1597
1.13	1.9199	0.1666	0.1569
1.14	1.9283	0.1681	0.1541
1.15	1.9366	0.1697	0.1512
1.16	1.9447	0.1711	0.1482
1.17	1.9526	0.1726	0.1452
1.18	1.9603	0.174	0.1422
1.19	1.9678	0.1754	0.1391
1.2	1.8331	0.1768	0.136
1.21	1.8402	0.1781	0.1295
1.22	1.8472	0.1793	0.12
1.23	1.854	0.1804	0.1112
1.24	1.8606	0.1814	0.103
1.25	1.867	0.1824	0.0954
1.26	1.8732	0.1832	0.0884
1.27	1.8792	0.1841	0.082
1.28	1.885	0.1848	0.076
1.29	1.8907	0.1855	0.0705
1.3	2.2074	0.1862	0.0655
1.31	2.2126	0.1869	0.0684
1.32	2.2177	0.1876	0.0783
1.33	2.2225	0.1885	0.0871
1.34	2.2272	0.1895	0.0948
1.35	2.2317	0.1905	0.1016
1.36	2.236	0.1916	0.1075
1.37	2.2401	0.1927	0.1125
1.38	2.244	0.1938	0.1167
1.39	2.2476	0.195	0.1201
1.4	1.8553	0.1963	0.1228
1.41	1.8586	0.1974	0.1153
1.42	1.8617	0.1984	0.0988
1.43	1.8646	0.1993	0.0836
1.44	1.8673	0.1999	0.0696
1.45	1.8698	0.2005	0.0566
1.46	1.8721	0.201	0.0448
1.47	1.8742	0.2013	0.034
1.48	1.8762	0.2015	0.0242
1.49	1.8779	0.2017	0.0153
1.5	1.5203	0.2018	0.0072
1.51	1.5216	0.2017	-0.0088
1.52	1.5228	0.2014	-0.0315
1.53	1.5237	0.2008	-0.0518
1.54	1.5244	0.2001	-0.07
1.55	1.5249	0.1993	-0.086
1.56	1.5252	0.1983	-0.1001
1.57	1.5253	0.1972	-0.1123
1.58	1.5253	0.1959	-0.1228
1.59	1.525	0.1946	-0.1318
1.6	1.6533	0.1932	-0.1393
1.61	1.6526	0.1918	-0.1423
1.62	1.6518	0.1904	-0.1414
1.63	1.6507	0.189	-0.1399
