1667001784.37	349.00	68.00
1667001784.45	349.00	71.00
1667001784.52	350.00	73.00
1667001784.60	351.00	76.00
1667001784.67	352.00	81.00
1667001784.76	352.00	84.00
1667001784.82	352.00	87.00
1667001784.91	352.00	90.00
1667001784.98	352.00	95.00
1667001785.06	353.00	99.00
1667001785.13	353.00	102.00
1667001785.20	353.00	106.00
1667001785.28	354.00	111.00
1667001785.37	354.00	114.00
1667001785.44	354.00	118.00
1667001785.52	354.00	121.00
1667001785.59	354.00	127.00
1667001785.67	355.00	131.00
1667001785.74	355.00	134.00
1667001785.82	355.00	138.00
1667001785.89	355.00	144.00
1667001785.98	354.00	148.00
1667001786.04	355.00	151.00
1667001786.12	355.00	155.00
1667001786.19	355.00	161.00
1667001786.26	354.00	165.00
1667001786.34	355.00	169.00
1667001786.42	355.00	172.00
1667001786.50	355.00	176.00
1667001786.59	355.00	181.00
1667001786.66	355.00	186.00
1667001786.74	355.00	190.00
1667001786.81	355.00	194.00
1667001786.89	355.00	198.00
1667001786.97	355.00	204.00
1667001787.05	355.00	208.00
1667001787.12	355.00	214.00
1667001787.20	355.00	218.00
1667001787.27	355.00	222.00
1667001787.36	355.00	225.00
1667001787.42	356.00	231.00
1667001787.50	356.00	235.00
1667001787.58	356.00	239.00
1667001787.66	356.00	242.00
1667001787.73	355.00	248.00
1667001787.82	355.00	252.00
1667001787.89	355.00	256.00
1667001787.97	355.00	260.00
1667001788.04	355.00	266.00
1667001788.13	355.00	270.00
1667001788.19	355.00	274.00
1667001788.28	355.00	278.00
1667001788.35	355.00	284.00
1667001788.44	355.00	288.00
1667001788.51	354.00	292.00
1667001788.59	354.00	296.00
1667001788.66	353.00	301.00
1667001788.74	352.00	305.00
1667001788.81	352.00	309.00
1667001788.89	351.00	313.00
1667001788.96	349.00	318.00
1667001789.05	347.00	322.00
1667001789.12	346.00	325.00
1667001789.19	344.00	329.00
1667001789.26	341.00	334.00
1667001789.35	339.00	337.00
1667001789.42	337.00	340.00
1667001789.51	334.00	343.00
1667001789.58	330.00	347.00
1667001789.66	327.00	350.00
1667001789.73	324.00	353.00
1667001789.81	321.00	355.00
1667001789.88	315.00	358.00
1667001789.96	311.00	360.00
1667001790.03	308.00	362.00
1667001790.11	304.00	364.00
1667001790.18	298.00	367.00
1667001790.27	294.00	368.00
1667001790.34	290.00	369.00
1667001790.42	285.00	369.00
1667001790.49	281.00	370.00
1667001790.57	274.00	371.00
1667001790.64	270.00	372.00
1667001790.72	265.00	372.00
1667001790.79	258.00	372.00
1667001790.87	254.00	373.00
1667001790.94	250.00	373.00
1667001791.03	245.00	374.00
1667001791.10	241.00	374.00
1667001791.18	237.00	375.00
1667001791.25	229.00	375.00
1667001791.33	225.00	376.00
1667001791.40	220.00	376.00
1667001791.48	214.00	376.00
1667001791.55	209.00	376.00
1667001791.63	204.00	377.00
1667001791.70	199.00	377.00
1667001791.78	192.00	377.00
1667001791.85	188.00	377.00
1667001791.94	183.00	377.00
1667001792.00	178.00	377.00
1667001792.08	173.00	377.00
1667001792.15	166.00	377.00
1667001792.23	161.00	378.00
1667001792.31	156.00	378.00
1667001792.39	151.00	377.00
1667001792.46	147.00	377.00
1667001792.55	142.00	378.00
1667001792.62	135.00	377.00
1667001792.71	130.00	377.00
1667001792.77	123.00	377.00
1667001792.86	119.00	377.00
1667001792.92	114.00	377.00
1667001793.00	109.00	376.00
1667001793.07	103.00	376.00
1667001793.16	98.00	376.00
1667001793.23	94.00	375.00
1667001793.31	89.00	375.00
1667001793.37	83.00	373.00
1667001793.46	81.00	373.00
1667001793.53	75.00	371.00
1667001793.61	71.00	370.00
1667001793.68	67.00	369.00
1667001793.77	63.00	367.00
1667001793.83	58.00	365.00
1667001793.91	55.00	364.00
1667001793.99	50.00	361.00
1667001794.07	48.00	360.00
1667001794.14	44.00	357.00
1667001794.22	41.00	355.00
1667001794.29	38.00	353.00
1667001794.38	35.00	351.00
1667001794.45	32.00	347.00
1667001794.54	30.00	345.00
1667001794.60	28.00	343.00
1667001794.68	26.00	340.00
1667001794.75	23.00	336.00
1667001794.83	22.00	333.00
1667001794.89	20.00	329.00
1667001794.98	18.00	327.00
1667001795.05	17.00	324.00
1667001795.13	16.00	321.00
1667001795.20	16.00	318.00
1667001795.28	15.00	315.00
1667001795.35	15.00	311.00
1667001795.43	14.00	308.00
1667001795.50	14.00	305.00
1667001795.58	14.00	302.00
1667001795.65	14.00	297.00
1667001795.74	14.00	295.00
1667001795.81	14.00	290.00
1667001795.90	14.00	287.00
1667001795.97	13.00	284.00
1667001796.05	13.00	280.00
1667001796.12	13.00	275.00
1667001796.21	13.00	272.00
1667001796.27	13.00	267.00
1667001796.35	13.00	263.00
