0.062626	0.062626	0.000000	-0.009744
0.072468	0.009842	0.000041	-0.009744
0.082525	0.010057	0.000090	-0.009744
0.092456	0.009931	0.000147	-0.009744
0.102440	0.009984	0.000215	-0.009744
0.112403	0.009963	0.000293	-0.009744
0.122442	0.010039	0.000383	-0.010133
0.132419	0.009977	0.000486	-0.010133
0.142364	0.009945	0.000603	-0.010133
0.152331	0.009967	0.000735	-0.010133
0.162432	0.010101	0.000884	-0.010523
0.172340	0.009908	0.001049	-0.010523
0.182530	0.010190	0.001236	-0.010523
0.192690	0.010160	0.001443	-0.010523
0.202026	0.009336	0.001653	-0.010523
0.212066	0.010040	0.001899	-0.010523
0.221868	0.009802	0.002161	-0.010523
0.232442	0.010574	0.002468	-0.010523
0.242457	0.010015	0.002785	-0.010523
0.252498	0.010041	0.003129	-0.010133
0.262547	0.010049	0.003500	-0.009744
0.272505	0.009958	0.003896	-0.009744
0.282409	0.009904	0.004319	-0.009744
0.292512	0.010103	0.004780	-0.009744
0.302563	0.010051	0.005270	-0.009744
0.312633	0.010070	0.005794	-0.009354
0.322451	0.009818	0.006338	-0.008574
0.332408	0.009957	0.006923	-0.008185
0.342521	0.010113	0.007553	-0.007795
0.352482	0.009961	0.008210	-0.007795
0.362437	0.009955	0.008905	-0.007405
0.372563	0.010126	0.009650	-0.007015
0.382582	0.010019	0.010428	-0.006626
0.392474	0.009892	0.011237	-0.006236
0.402534	0.010060	0.012101	-0.005846
0.412425	0.009891	0.012994	-0.005846
0.422739	0.010314	0.013970	-0.005846
0.437568	0.014829	0.015443	-0.005846
0.447511	0.009943	0.016500	-0.005846
0.452539	0.005028	0.017059	-0.004677
0.462547	0.010008	0.018195	-0.004677
0.472488	0.009941	0.019374	-0.004677
0.487544	0.015056	0.021235	-0.004677
0.492537	0.004993	0.021892	-0.004677
0.502577	0.010040	0.023239	-0.004677
0.512682	0.010105	0.024651	-0.003508
0.522684	0.010002	0.026104	-0.003508
0.532542	0.009858	0.027593	-0.003508
